Tamaño de Matriz,Iteración,Hilos,Tiempo (s)
10,1,2,0.001679
10,1,4,0.002027
10,1,8,0.002818
10,1,16,0.002951
10,1,32,0.003199
10,2,2,0.000259
10,2,4,0.000344
10,2,8,0.000820
10,2,16,0.001353
10,2,32,0.002942
10,3,2,0.000375
10,3,4,0.000685
10,3,8,0.001337
10,3,16,0.001214
10,3,32,0.002870
10,4,2,0.000256
10,4,4,0.000340
10,4,8,0.002095
10,4,16,0.001223
10,4,32,0.002323
10,5,2,0.000249
10,5,4,0.000397
10,5,8,0.001578
10,5,16,0.001379
10,5,32,0.001702
10,6,2,0.000216
10,6,4,0.000624
10,6,8,0.001177
10,6,16,0.001471
10,6,32,0.001535
10,7,2,0.000291
10,7,4,0.000382
10,7,8,0.000696
10,7,16,0.001126
10,7,32,0.002276
10,8,2,0.000206
10,8,4,0.000277
10,8,8,0.000777
10,8,16,0.001927
10,8,32,0.001597
10,9,2,0.000221
10,9,4,0.000300
10,9,8,0.000356
10,9,16,0.000891
10,9,32,0.002471
10,10,2,0.000215
10,10,4,0.001218
10,10,8,0.000658
10,10,16,0.000831
10,10,32,0.002770
100,1,2,0.004556
100,1,4,0.002221
100,1,8,0.002913
100,1,16,0.002410
100,1,32,0.002755
100,2,2,0.004722
100,2,4,0.004039
100,2,8,0.002279
100,2,16,0.002947
100,2,32,0.003489
100,3,2,0.005443
100,3,4,0.003202
100,3,8,0.002178
100,3,16,0.003128
100,3,32,0.003293
100,4,2,0.003991
100,4,4,0.003839
100,4,8,0.002372
100,4,16,0.002576
100,4,32,0.003785
100,5,2,0.004007
100,5,4,0.003930
100,5,8,0.002163
100,5,16,0.002265
100,5,32,0.002893
100,6,2,0.004532
100,6,4,0.002265
100,6,8,0.002578
100,6,16,0.002759
100,6,32,0.003142
100,7,2,0.004133
100,7,4,0.003949
100,7,8,0.002277
100,7,16,0.002997
100,7,32,0.003199
100,8,2,0.003936
100,8,4,0.003043
100,8,8,0.002348
100,8,16,0.002296
100,8,32,0.003980
100,9,2,0.004077
100,9,4,0.002183
100,9,8,0.003801
100,9,16,0.002933
100,9,32,0.003265
100,10,2,0.004325
100,10,4,0.002157
100,10,8,0.002559
100,10,16,0.002949
100,10,32,0.003188
200,1,2,0.031037
200,1,4,0.014769
200,1,8,0.018679
200,1,16,0.017404
200,1,32,0.019491
200,2,2,0.069937
200,2,4,0.031869
200,2,8,0.022845
200,2,16,0.020795
200,2,32,0.016945
200,3,2,0.024957
200,3,4,0.018523
200,3,8,0.016340
200,3,16,0.018162
200,3,32,0.017334
200,4,2,0.031855
200,4,4,0.015070
200,4,8,0.018338
200,4,16,0.019130
200,4,32,0.019547
200,5,2,0.027060
200,5,4,0.015905
200,5,8,0.018268
200,5,16,0.017064
200,5,32,0.018104
200,6,2,0.028269
200,6,4,0.015446
200,6,8,0.018232
200,6,16,0.018776
200,6,32,0.019635
200,7,2,0.031099
200,7,4,0.026362
200,7,8,0.016831
200,7,16,0.018237
200,7,32,0.018041
200,8,2,0.028034
200,8,4,0.017389
200,8,8,0.018988
200,8,16,0.020209
200,8,32,0.017947
200,9,2,0.031988
200,9,4,0.018277
200,9,8,0.019238
200,9,16,0.020096
200,9,32,0.021621
200,10,2,0.027265
200,10,4,0.016600
200,10,8,0.020343
200,10,16,0.017920
