Tamaño de Matriz,Iteración,Hilos,Tiempo (s)
10,1,0,0.000027
10,2,0,0.000029
10,3,0,0.000031
10,4,0,0.000031
10,5,0,0.000030
10,6,0,0.000029
10,7,0,0.000031
10,8,0,0.000030
10,9,0,0.000031
10,10,0,0.000028
100,1,0,0.019577
100,2,0,0.027687
100,3,0,0.030084
100,4,0,0.030284
100,5,0,0.030573
100,6,0,0.028017
100,7,0,0.030923
100,8,0,0.031513
100,9,0,0.021161
100,10,0,0.023120
200,1,0,0.157146
200,2,0,0.223472
200,3,0,0.235199
200,4,0,0.138655
200,5,0,0.144009
200,6,0,0.247906
200,7,0,0.249106
200,8,0,0.249561
200,9,0,0.282857
200,10,0,0.136690
400,1,0,1.247860
400,2,0,2.194670
400,3,0,2.146776
400,4,0,2.217843
400,5,0,2.356955
400,6,0,2.373765
400,7,0,2.143027
400,8,0,1.935760
400,9,0,2.193364
400,10,0,1.810448
800,1,0,14.475089
800,2,0,14.440410
800,3,0,21.510221
800,4,0,14.783594
800,5,0,15.637061
800,6,0,13.832864
800,7,0,19.539473
800,8,0,18.225601
800,9,0,22.119923
800,10,0,16.204610
1600,1,0,181.475664
1600,2,0,131.151867
1600,3,0,63.176668
1600,4,0,44.841859
1600,5,0,42.251028
1600,6,0,41.869674
1600,7,0,44.738154
1600,8,0,41.577562
1600,9,0,90.465457
1600,10,0,99.143341
3200,1,0,753.678873
