Tamaño de Matriz,Iteración,Hilos,Tiempo (s)
10,1,2,0.000216
10,2,2,0.000016
10,3,2,0.000014
10,4,2,0.000014
10,5,2,0.000015
10,6,2,0.000014
10,7,2,0.000014
10,8,2,0.000014
10,9,2,0.000014
10,10,2,0.000014
10,1,4,0.000139
10,2,4,0.000008
10,3,4,0.000008
10,4,4,0.000008
10,5,4,0.000008
10,6,4,0.000008
10,7,4,0.000008
10,8,4,0.000008
10,9,4,0.000006
10,10,4,0.000007
10,1,8,0.000165
10,2,8,0.000009
10,3,8,0.000008
10,4,8,0.000008
10,5,8,0.000007
10,6,8,0.000007
10,7,8,0.000008
10,8,8,0.000008
10,9,8,0.000008
10,10,8,0.000008
10,1,16,0.000430
10,2,16,0.000054
10,3,16,0.000044
10,4,16,0.000088
10,5,16,0.000056
10,6,16,0.000031
10,7,16,0.000059
10,8,16,0.000055
10,9,16,0.000066
10,10,16,0.000042
10,1,32,0.003593
10,2,32,0.002465
10,3,32,0.013536
10,4,32,0.000852
10,5,32,0.000764
10,6,32,0.000737
10,7,32,0.000884
10,8,32,0.000838
10,9,32,0.000800
10,10,32,0.000759
100,1,2,0.002762
100,2,2,0.002807
100,3,2,0.003054
100,4,2,0.002766
100,5,2,0.002645
100,6,2,0.002680
100,7,2,0.002641
100,8,2,0.002743
100,9,2,0.002853
100,10,2,0.002379
100,1,4,0.001411
100,2,4,0.001414
100,3,4,0.001685
100,4,4,0.001732
100,5,4,0.002342
100,6,4,0.001906
100,7,4,0.001647
100,8,4,0.001674
100,9,4,0.001668
100,10,4,0.001706
100,1,8,0.001335
100,2,8,0.001989
100,3,8,0.004099
100,4,8,0.001579
100,5,8,0.001554
100,6,8,0.002334
100,7,8,0.001474
100,8,8,0.001487
100,9,8,0.001758
100,10,8,0.002237
100,1,16,0.002521
100,2,16,0.001967
100,3,16,0.002100
100,4,16,0.001826
100,5,16,0.001580
100,6,16,0.001853
100,7,16,0.001951
100,8,16,0.001647
100,9,16,0.001904
100,10,16,0.002036
100,1,32,0.002653
100,2,32,0.001648
100,3,32,0.002039
100,4,32,0.002368
100,5,32,0.002338
100,6,32,0.002119
100,7,32,0.002371
100,8,32,0.001930
100,9,32,0.002172
100,10,32,0.002198
200,1,2,0.041089
200,2,2,0.028079
200,3,2,0.021668
200,4,2,0.017864
200,5,2,0.019685
200,6,2,0.018021
200,7,2,0.017488
200,8,2,0.018835
200,9,2,0.017545
200,10,2,0.018804
200,1,4,0.013799
200,2,4,0.013882
200,3,4,0.014546
200,4,4,0.013075
200,5,4,0.015827
200,6,4,0.022759
200,7,4,0.015188
200,8,4,0.012723
200,9,4,0.013969
200,10,4,0.012256
200,1,8,0.015382
200,2,8,0.015713
200,3,8,0.014307
200,4,8,0.013170
200,5,8,0.012026
200,6,8,0.012612
200,7,8,0.012035
200,8,8,0.012053
200,9,8,0.012138
200,10,8,0.015484
200,1,16,0.018518
200,2,16,0.018121
200,3,16,0.013363
200,4,16,0.011962
200,5,16,0.013630
200,6,16,0.011814
200,7,16,0.012527
200,8,16,0.011958
200,9,16,0.014550
200,10,16,0.014002
200,1,32,0.014275
200,2,32,0.014854
200,3,32,0.014230
200,4,32,0.012389
200,5,32,0.013753
200,6,32,0.012191
200,7,32,0.012062
200,8,32,0.012462
200,9,32,0.012315
200,10,32,0.014138
400,1,2,0.166745
400,2,2,0.161043
400,3,2,0.182366
400,4,2,0.161426
400,5,2,0.160324
400,6,2,0.161129
400,7,2,0.160656
400,8,2,0.159926
400,9,2,0.163818
400,10,2,0.161853
400,1,4,0.160390
400,2,4,0.121091
400,3,4,0.114996
400,4,4,0.107925
400,5,4,0.110267
400,6,4,0.108200
400,7,4,0.116633
400,8,4,0.111961
400,9,4,0.111708
400,10,4,0.107503
400,1,8,0.125986
400,2,8,0.112412
400,3,8,0.114094
400,4,8,0.112198
400,5,8,0.111393
400,6,8,0.107640
400,7,8,0.110453
400,8,8,0.124430
400,9,8,0.125445
