Tamaño de Matriz,Iteración,Hilos,Tiempo (s)
256,1,2,
256,1,4,
256,1,8,
256,1,16,
256,1,32,
256,2,2,
256,2,4,
256,2,8,
256,2,16,
256,2,32,
256,3,2,
256,3,4,
256,3,8,
256,3,16,
256,3,32,
256,4,2,
256,4,4,
256,4,8,
256,4,16,
256,4,32,
256,5,2,
256,5,4,
256,5,8,
256,5,16,
256,5,32,
256,6,2,
256,6,4,
256,6,8,
256,6,16,
256,6,32,
256,7,2,
256,7,4,
256,7,8,
256,7,16,
256,7,32,
256,8,2,
256,8,4,
256,8,8,
256,8,16,
256,8,32,
256,9,2,
256,9,4,
256,9,8,
256,9,16,
256,9,32,
256,10,2,
256,10,4,
256,10,8,
256,10,16,
256,10,32,
512,1,2,
512,1,4,
512,1,8,
512,1,16,
512,1,32,
512,2,2,
512,2,4,
512,2,8,
512,2,16,
512,2,32,
512,3,2,
512,3,4,
512,3,8,
512,3,16,
512,3,32,
512,4,2,
512,4,4,
512,4,8,
512,4,16,
512,4,32,
512,5,2,
512,5,4,
512,5,8,
512,5,16,
512,5,32,
512,6,2,
512,6,4,
512,6,8,
512,6,16,
512,6,32,
512,7,2,
512,7,4,
512,7,8,
512,7,16,
512,7,32,
512,8,2,
512,8,4,
512,8,8,
512,8,16,
512,8,32,
512,9,2,
512,9,4,
512,9,8,
512,9,16,
512,9,32,
512,10,2,
512,10,4,
512,10,8,
512,10,16,
512,10,32,
1024,1,2,
1024,1,4,
1024,1,8,
1024,1,16,
1024,1,32,
1024,2,2,
1024,2,4,
1024,2,8,
1024,2,16,
1024,2,32,
1024,3,2,
1024,3,4,
1024,3,8,
1024,3,16,
1024,3,32,
1024,4,2,
1024,4,4,
1024,4,8,
1024,4,16,
1024,4,32,
1024,5,2,
1024,5,4,
1024,5,8,
1024,5,16,
1024,5,32,
1024,6,2,
1024,6,4,
1024,6,8,
1024,6,16,
1024,6,32,
1024,7,2,
1024,7,4,
1024,7,8,
1024,7,16,
1024,7,32,
1024,8,2,
1024,8,4,
1024,8,8,
1024,8,16,
1024,8,32,
1024,9,2,
1024,9,4,
1024,9,8,
1024,9,16,
1024,9,32,
1024,10,2,
1024,10,4,
1024,10,8,
1024,10,16,
1024,10,32,
2048,1,2,
2048,1,4,
2048,1,8,
2048,1,16,
2048,1,32,
2048,2,2,
2048,2,4,
2048,2,8,
2048,2,16,
2048,2,32,
2048,3,2,
2048,3,4,
2048,3,8,
2048,3,16,
2048,3,32,
2048,4,2,
2048,4,4,
2048,4,8,
2048,4,16,
2048,4,32,
2048,5,2,
2048,5,4,
2048,5,8,
2048,5,16,
2048,5,32,
2048,6,2,
2048,6,4,
2048,6,8,
2048,6,16,
2048,6,32,
2048,7,2,
2048,7,4,
2048,7,8,
2048,7,16,
2048,7,32,
2048,8,2,
2048,8,4,
2048,8,8,
2048,8,16,
2048,8,32,
2048,9,2,
2048,9,4,
2048,9,8,
2048,9,16,
2048,9,32,
2048,10,2,
2048,10,4,
2048,10,8,
2048,10,16,
2048,10,32,
4096,1,2,
4096,1,4,
4096,1,8,
4096,1,16,
4096,1,32,
4096,2,2,
4096,2,4,
4096,2,8,
4096,2,16,
4096,2,32,
4096,3,2,
4096,3,4,
4096,3,8,
4096,3,16,
4096,3,32,
4096,4,2,
4096,4,4,
4096,4,8,
4096,4,16,
4096,4,32,
4096,5,2,
4096,5,4,
4096,5,8,
4096,5,16,
4096,5,32,
4096,6,2,
4096,6,4,
4096,6,8,
4096,6,16,
4096,6,32,
4096,7,2,
4096,7,4,
4096,7,8,
4096,7,16,
4096,7,32,
4096,8,2,
4096,8,4,
4096,8,8,
4096,8,16,
4096,8,32,
4096,9,2,
4096,9,4,
4096,9,8,
4096,9,16,
4096,9,32,
4096,10,2,
4096,10,4,
4096,10,8,
4096,10,16,
4096,10,32,
