Tamaño de Matriz,Iteración,Hilos,Tiempo (s)
10,1,2,0.000042
10,1,4,0.000008
10,1,8,0.000002
10,1,16,0.000001
10,1,32,0.000001
10,2,2,0.000006
10,2,4,0.000004
10,2,8,0.000002
10,2,16,0.000001
10,2,32,0.000001
10,3,2,0.000005
10,3,4,0.000003
10,3,8,0.000002
10,3,16,0.000001
10,3,32,0.000001
10,4,2,0.000004
10,4,4,0.000003
10,4,8,0.000001
10,4,16,0.000001
10,4,32,0.000001
10,5,2,0.000004
10,5,4,0.000003
10,5,8,0.000001
10,5,16,0.000001
10,5,32,0.000001
10,6,2,0.000005
10,6,4,0.000003
10,6,8,0.000001
10,6,16,0.000001
10,6,32,0.000001
10,7,2,0.000004
10,7,4,0.000003
10,7,8,0.000002
10,7,16,0.000001
10,7,32,0.000001
10,8,2,0.000005
10,8,4,0.000003
10,8,8,0.000003
10,8,16,0.000001
10,8,32,0.000001
10,9,2,0.000004
10,9,4,0.000003
10,9,8,0.000002
10,9,16,0.000001
10,9,32,0.000001
10,10,2,0.000004
10,10,4,0.000003
10,10,8,0.000001
10,10,16,0.000001
10,10,32,0.000001
100,1,2,0.005530
100,1,4,0.001585
100,1,8,0.001294
100,1,16,0.000606
100,1,32,0.000280
100,2,2,0.002690
100,2,4,0.002040
100,2,8,0.001233
100,2,16,0.000578
100,2,32,0.000294
100,3,2,0.003310
100,3,4,0.001364
100,3,8,0.001086
100,3,16,0.000609
100,3,32,0.000284
100,4,2,0.003365
100,4,4,0.001961
100,4,8,0.001173
100,4,16,0.000580
100,4,32,0.000295
100,5,2,0.005202
100,5,4,0.001945
100,5,8,0.001208
100,5,16,0.000632
100,5,32,0.000287
100,6,2,0.002730
100,6,4,0.002033
100,6,8,0.001130
100,6,16,0.000592
100,6,32,0.000293
100,7,2,0.002693
100,7,4,0.002613
100,7,8,0.001110
100,7,16,0.000574
100,7,32,0.000294
100,8,2,0.005245
100,8,4,0.002059
100,8,8,0.001206
100,8,16,0.000607
100,8,32,0.000291
100,9,2,0.002797
100,9,4,0.002088
100,9,8,0.001169
100,9,16,0.000609
100,9,32,0.000297
100,10,2,0.002661
100,10,4,0.001983
100,10,8,0.001172
100,10,16,0.000610
100,10,32,0.000289
200,1,2,0.024755
200,1,4,0.013669
200,1,8,0.009011
200,1,16,0.004394
200,1,32,0.002769
200,2,2,0.018513
200,2,4,0.013687
200,2,8,0.009240
200,2,16,0.004571
200,2,32,0.002252
200,3,2,0.039408
200,3,4,0.016180
200,3,8,0.010453
200,3,16,0.005089
200,3,32,0.002216
200,4,2,0.022102
200,4,4,0.012774
200,4,8,0.009114
200,4,16,0.005038
200,4,32,0.002212
200,5,2,0.020742
200,5,4,0.011050
200,5,8,0.008693
200,5,16,0.005033
200,5,32,0.002808
200,6,2,0.022235
200,6,4,0.016722
200,6,8,0.010045
200,6,16,0.005079
200,6,32,0.002260
200,7,2,0.018732
200,7,4,0.014750
200,7,8,0.008895
200,7,16,0.004705
200,7,32,0.002494
200,8,2,0.017124
200,8,4,0.017329
200,8,8,0.009881
200,8,16,0.004430
200,8,32,0.002526
200,9,2,0.020832
200,9,4,0.017696
200,9,8,0.009071
200,9,16,0.004898
200,9,32,0.002221
200,10,2,0.016980
200,10,4,0.023671
200,10,8,0.010441
200,10,16,0.004495
200,10,32,0.002286
400,1,2,0.157144
400,1,4,0.102022
400,1,8,0.079566
400,1,16,0.059727
400,1,32,0.033196
400,2,2,0.206767
400,2,4,0.139168
400,2,8,0.130725
400,2,16,0.063602
400,2,32,0.033359
400,3,2,0.223377
400,3,4,0.193851
400,3,8,0.127138
400,3,16,0.063019
400,3,32,0.032420
400,4,2,0.209519
400,4,4,0.205113
400,4,8,0.128129
400,4,16,0.063789
400,4,32,0.032095
400,5,2,0.206221
400,5,4,0.142717
400,5,8,0.126275
400,5,16,0.064962
400,5,32,0.032789
400,6,2,0.215786
400,6,4,0.138188
400,6,8,0.126149
400,6,16,0.065278
400,6,32,0.033167
400,7,2,0.208889
400,7,4,0.147946
400,7,8,0.127060
400,7,16,0.065164
400,7,32,0.033353
400,8,2,0.239009
400,8,4,0.141275
400,8,8,0.127794
400,8,16,0.065538
400,8,32,0.033435
400,9,2,0.209477
400,9,4,0.172873
400,9,8,0.127948
400,9,16,0.067990
400,9,32,0.033350
400,10,2,0.248316
400,10,4,0.152880
400,10,8,0.133113
400,10,16,0.066251
400,10,32,0.035354
800,1,2,1.627105
800,1,4,1.079202
800,1,8,1.032629
800,1,16,0.512804
800,1,32,0.260368
800,2,2,1.624239
800,2,4,1.076195
800,2,8,1.030366
800,2,16,0.519443
800,2,32,0.260872
800,3,2,1.657123
800,3,4,1.070973
800,3,8,1.029748
800,3,16,0.505493
800,3,32,0.259543
800,4,2,1.623099
800,4,4,1.088555
800,4,8,1.048478
800,4,16,0.496962
800,4,32,0.258945
800,5,2,1.639131
800,5,4,1.077714
800,5,8,1.033010
800,5,16,0.509821
800,5,32,0.259194
800,6,2,1.649433
800,6,4,1.107014
800,6,8,1.037822
800,6,16,0.515598
800,6,32,0.257346
800,7,2,1.631781
800,7,4,1.050262
800,7,8,1.006952
800,7,16,0.504555
800,7,32,0.257213
800,8,2,1.623751
800,8,4,1.076793
800,8,8,1.069174
800,8,16,0.568186
800,8,32,0.280937
800,9,2,1.624660
800,9,4,1.332897
800,9,8,1.064296
800,9,16,0.515257
800,9,32,0.264948
800,10,2,1.632488
800,10,4,1.088994
800,10,8,1.035064
800,10,16,0.510657
800,10,32,0.264469
1600,1,2,20.582484
1600,1,4,12.149202
1600,1,8,10.814174
1600,1,16,5.483943
1600,1,32,2.769777
1600,2,2,20.456023
1600,2,4,12.255759
1600,2,8,10.776223
1600,2,16,5.515457
1600,2,32,2.773653
1600,3,2,20.534925
1600,3,4,12.102714
1600,3,8,10.684555
1600,3,16,5.441941
1600,3,32,2.740606
1600,4,2,20.472402
1600,4,4,12.072872
1600,4,8,10.727805
1600,4,16,5.475643
1600,4,32,2.786959
1600,5,2,20.512857
1600,5,4,14.031007
1600,5,8,11.744101
1600,5,16,5.768701
1600,5,32,2.853508
1600,6,2,21.855330
1600,6,4,12.971872
1600,6,8,10.739679
1600,6,16,5.878285
1600,6,32,3.022480
1600,7,2,27.513650
1600,7,4,16.902178
1600,7,8,14.575296
1600,7,16,16.452499
1600,7,32,5.179233
1600,8,2,54.026602
1600,8,4,16.368423
1600,8,8,10.785594
1600,8,16,5.818905
1600,8,32,2.755201
1600,9,2,20.759282
1600,9,4,12.071539
1600,9,8,10.795446
1600,9,16,5.408775
1600,9,32,2.806258
1600,10,2,23.043768
1600,10,4,12.968423
1600,10,8,11.150553
1600,10,16,5.592945
1600,10,32,2.814861
3200,1,2,187.956427
3200,1,4,107.381987
3200,1,8,86.591365
3200,1,16,51.760414
3200,1,32,26.322720
3200,2,2,254.032206
3200,2,4,140.926864
3200,2,8,106.118924
3200,2,16,51.140911
3200,2,32,25.450795
3200,3,2,204.980143
3200,3,4,145.118635
3200,3,8,79.595528
3200,3,16,50.641793
3200,3,32,26.590014
3200,4,2,217.525687
3200,4,4,115.894588
3200,4,8,95.440834
3200,4,16,52.668393
3200,4,32,24.913864
3200,5,2,197.174417
3200,5,4,113.449693
3200,5,8,94.713460
3200,5,16,51.878999
3200,5,32,20.979218
3200,6,2,217.241211
